"user_id","first_name","surname","full_name","city","region","country","age","age_range","gender","income","income_range","employment_status","marital_status","email","phone_number","acquisition_channel"
U73869,Poppy,Williams,Poppy Williams,Peterborough,East Of England,United Kingdom,33.0,"20-35",,23170.92,"15k-30k",Employed full-time,Married,poppyw23@yahoo.co.uk,+447870520715,Organic Search
U37875,Katie,Hill,Katie Hill,,Wales,United Kingdom,26.0,"20-35",Female,39164.91,"30k-50k",Employed full-time,Separated,,,Affiliate / Comparison Site
U77178,Chloe,Watson,Chloe Watson,,Scotland,United Kingdom,51.0,"51-65",Female,24897.16,"15k-30k",Employed full-time,Married,chloew43@gmail.com,+447494545793,Social Media Ads
U14931,William,Costa,William Costa,Watford,East Of England,United Kingdom,44.0,"36-50",Male,16007.92,"15k-30k",Employed full-time,Married,william.costa@hotmail.com,+447526823267,Referral
U73645,Ellie,Lewis,Ellie Lewis,,East Of England,United Kingdom,43.0,"36-50",Female,19613.64,"15k-30k",Employed full-time,Single,ellie.lewis@gmail.com,+447115346427,
U83037,Peter,Patel,Peter Patel,Bolton,North West,United Kingdom,20.0,"20-35",,15610.0,"15k-30k",,Single,peter.patel@yahoo.co.uk,+447813569414,Social Media Ads
U55296,Jack,Williams,Jack Williams,Blackburn,North West,United Kingdom,38.0,"36-50",Male,18462.88,"15k-30k",Self-employed,Single,ace450@yahoo.co.uk,,
U69653,Sophia,James,Sophia James,Newcastle Upon Tyne,North East,United Kingdom,40.0,"36-50",Female,35157.88,"30k-50k",Employed full-time,Divorced,rebel88@aol.com,+447491454087,Affiliate / Comparison Site
U39352,Jessica,Sullivan,Jessica Sullivan,Stockport,North West,United Kingdom,35.0,"20-35",Female,48798.3,"30k-50k",Self-employed,Married,jessica.sullivan@gmail.com,,Referral
U17136,Richard,Williams,Richard Williams,Edinburgh,,,46.0,"36-50",Male,27069.94,"15k-30k",Employed full-time,Married,richardw46@gmail.com,+447569346282,Referral
U54618,Fatima,Martin,Fatima Martin,,East Midlands,United Kingdom,,,Female,,,Employed full-time,Married,fatima.martin@btinternet.com,+447468738201,Direct / App Store
U86350,Ellie,Ali,Ellie Ali,Coventry,West Midlands,United Kingdom,51.0,"51-65",Female,37038.45,"30k-50k",Employed full-time,Married,rebel623@gmail.com,+447243464344,Organic Search
U80830,Jacob,Shah,Jacob Shah,,Scotland,United Kingdom,,,Male,32060.79,"30k-50k",Employed full-time,Single,jacob.shah@hotmail.com,+447505456644,Organic Search
U46372,Nicole,Harrison,Nicole Harrison,Manchester,,United Kingdom,,,Other,8826.49,Under 15k,Employed part-time,Married,nicoleh68@live.co.uk,+447613412614,Referral
U94617,Sam,Green,Sam Green,Poole,South West,United Kingdom,,,Other,25423.62,"15k-30k",Self-employed,Married,sam.green@hotmail.com,+447695980173,Paid Search
U63268,Patricia,Price,Patricia Price,Glasgow,Scotland,United Kingdom,35.0,"20-35",Female,,,Employed full-time,Divorced,patriciap16@gmail.com,,Organic Search
U63661,Liam,Wright,Liam Wright,Huddersfield,Yorkshire And The Humber,United Kingdom,41.0,"36-50",,42357.13,"30k-50k",Employed full-time,Married,lwright1999@gmail.com,,
U47624,Theo,Price,Theo Price,Huddersfield,Yorkshire And The Humber,,49.0,"36-50",,12521.15,Under 15k,Employed part-time,Married,theo.price@gmail.com,+447111570109,Organic Search
U18443,William,Lewis,William Lewis,,East Of England,United Kingdom,34.0,"20-35",,37918.08,"30k-50k",Self-employed,,wlewis1971@hotmail.com,+447982266168,Affiliate / Comparison Site
U60411,Mason,Walker,Mason Walker,Reading,,,59.0,"51-65",Male,34462.24,"30k-50k",Employed full-time,Married,mason.walker@live.co.uk,+447616464095,
U47704,Susan,Bell,Susan Bell,Edinburgh,Scotland,United Kingdom,,,Female,44722.45,"30k-50k",Employed full-time,Divorced,susanb86@gmail.com,+447851661153,Paid Search
U84395,Nadia,Clark,Nadia Clark,,East Of England,United Kingdom,,,Female,45589.81,"30k-50k",Employed full-time,,turbo45@outlook.com,+447848177084,Paid Search
U84123,Leo,Rahman,Leo Rahman,Bath,South West,United Kingdom,40.0,"36-50",Male,36337.46,"30k-50k",Self-employed,Married,,+447269794008,Paid Search
U51716,Molly,Thompson,Molly Thompson,Reading,South East,United Kingdom,57.0,"51-65",Female,,,Employed full-time,Divorced,molly.thompson@icloud.com,+447447766946,
U39494,Barbara,Johnson,Barbara Johnson,Westminster,Greater London,United Kingdom,41.0,"36-50",Female,46359.21,"30k-50k",Employed full-time,Single,barbaraj49@icloud.com,+447223456451,
U41486,Simon,Shaw,Simon Shaw,Glasgow,Scotland,United Kingdom,53.0,"51-65",Male,18186.66,"15k-30k",Employed part-time,Divorced,sshaw2002@yahoo.co.uk,+447269633968,Social Media Ads
U13333,Layla,Ward,Layla Ward,Dundee,Scotland,United Kingdom,34.0,"20-35",,37055.65,"30k-50k",Employed full-time,Single,layla.ward@gmail.com,+447283335447,Paid Search
U54524,Amina,Lee,Amina Lee,Rotherham,Yorkshire And The Humber,United Kingdom,46.0,"36-50",Female,38501.34,"30k-50k",,,amina.lee@gmail.com,,Social Media Ads
U38573,Freddie,Davies,Freddie Davies,Birmingham,West Midlands,United Kingdom,64.0,"51-65",Male,56786.74,"50k-75k",Self-employed,Married,freddie.davies@hotmail.com,+447433178383,Social Media Ads
U91998,Finley,Shaw,Finley Shaw,Aberdeen,Scotland,United Kingdom,38.0,"36-50",Male,32801.98,"30k-50k",Self-employed,Married,fshaw1985@gmail.com,+447673953115,Paid Search
U62053,Isabella,Hughes,Isabella Hughes,Basildon,East Of England,United Kingdom,30.0,"20-35",Female,42663.17,"30k-50k",Self-employed,Married,isabella.hughes@gmail.com,,Organic Search
U58734,Oscar,Richardson,Oscar Richardson,Dundee,Scotland,United Kingdom,29.0,"20-35",Male,26560.78,"15k-30k",Employed full-time,,orichardson2001@gmail.com,+447823489328,Affiliate / Comparison Site
U36261,Katie,Rahman,Katie Rahman,Wolverhampton,,United Kingdom,39.0,"36-50",Female,55014.5,"50k-75k",Self-employed,Single,katie.rahman@gmail.com,+447576330008,Referral
U57764,Linda,Green,Linda Green,Ipswich,East Of England,United Kingdom,27.0,"20-35",,,,Employed full-time,Married,lindag65@yahoo.co.uk,+447220532357,Organic Search
U74564,Owen,Bailey,Owen Bailey,York,Yorkshire And The Humber,United Kingdom,57.0,"51-65",Male,30201.19,"30k-50k",Employed full-time,,owen.bailey@hotmail.com,+447352255040,Organic Search
U29655,Ruby,Silva,Ruby Silva,Basildon,East Of England,United Kingdom,57.0,"51-65",Female,33229.05,"30k-50k",Employed full-time,Married,ruby.silva@gmail.com,+447472980621,Social Media Ads
U52079,Amy,Andersson,Amy Andersson,Nottingham,,United Kingdom,46.0,"36-50",Female,6188.5,Under 15k,Unemployed,Married,amy.andersson@btinternet.com,+447875104595,Referral
U20533,Archie,Hunt,Archie Hunt,Belfast,Northern Ireland,United Kingdom,30.0,"20-35",Male,,,Employed full-time,Married,ahunt1993@outlook.com,,
U92730,Daniel,Stewart,Daniel Stewart,Watford,East Of England,United Kingdom,,,,36307.41,"30k-50k",Employed full-time,,daniel.stewart@hotmail.com,+447637632725,Paid Search
U80745,Reuben,Green,Reuben Green,Dundee,Scotland,United Kingdom,34.0,"20-35",Other,31835.52,"30k-50k",,Married,,+447259473519,
U96123,Rory,Richardson,Rory Richardson,,Scotland,United Kingdom,31.0,"20-35",Male,7559.83,Under 15k,Employed part-time,Divorced,rory.richardson@gmail.com,+447932377537,Organic Search
