user_id,first_name,surname,full_name,city,region,country,age,gender,income,employment_status,marital_status,email,phone_number,acquisition_channel
U73869,Poppy,Williams,Poppy Williams,Peterborough,East of England,UK,33.0,,23170.92,Employed full-time,Married,poppyw23@yahoo.co.uk,07870520715,Organic Search
U37875,Katie,Hill,Katie Hill,,Wales,United Kingdom,26.0,Female,39164.91,Employed full-time,Separated,,,Affiliate / Comparison Site
U77178,Chloe,Watson,Chloe Watson,,Scotland,U.K.,51.0,Female,24897.16,Employed full-time,Married,chloew43@gmail.com,(07494) 545793,Social Media Ads
U14931,William,Costa,William Costa,Watford,East of England,United kingdom,44.0,Male,16007.92,Employed full-time,Married,william.costa@hotmail.com,(07526) 823267,Referral
U73645,Ellie,Lewis,Ellie Lewis,,East of England,uk,43.0,Female,19613.64,Employed full-time,Single,ellie.lewis@gmail.com,(07115) 346427,
U83037,Peter,Patel,Peter Patel,Bolton,North West,uk,20.0,,15610.0,,Single,peter.patel@yahoo.co.uk,07813569414,Social Media Ads
U55296,Jack,Williams,Jack Williams,Blackburn,North West,uk,38.0,Male,18462.88,Self-employed,Single,ace450@yahoo.co.uk,,
U69653,Sophia,James,Sophia James,newcastle upon tyne,North East,UK,40.0,Female,35157.88,Employed full-time,Divorced,rebel88@aol.com,(07491) 454087,Affiliate / Comparison Site
U39352,Jessica,Sullivan,Jessica Sullivan,Stockport,North West,United Kingdom,35.0,Female,48798.3,Self-employed,Married,jessica.sullivan@gmail.com,,Referral
U17136,Richard,Williams,Richard Williams,Edinburgh,,,46.0,Male,27069.94,Employed full-time,Married,richardw46@gmail.com,+44 7569 346282,Referral
U54618,Fatima,Martin,Fatima Martin,,East Midlands,United Kingdom,,Female,,Employed full-time,Married,fatima.martin@btinternet.com,07468738201,Direct / App Store
U86350,Ellie,Ali,Ellie Ali,Coventry,West Midlands,United Kingdom,51.0,Female,37038.45,Employed full-time,Married,rebel623@gmail.com,07243 464344,Organic Search
U80830,Jacob,Shah,Jacob Shah,,Scotland,UK,,Male,32060.79,Employed full-time,Single,jacob.shah@hotmail.com,(07505) 456644,Organic Search
U46372,Nicole,Harrison,Nicole Harrison,Manchester,,United Kingdom,,Other,8826.49,Employed part-time,Married,nicoleh68@live.co.uk,(07613) 412614,Referral
U94617,Sam,Green,Sam Green,Poole,South West,UK,,Other,25423.62,Self-employed,Married,sam.green@hotmail.com,07695 980173,Paid Search
U63268,Patricia,Price,Patricia Price,Glasgow,Scotland,United Kingdom,35.0,Female,,Employed full-time,Divorced,patriciap16@gmail.com,,Organic Search
U63661,Liam,Wright,Liam Wright,Huddersfield,Yorkshire and the Humber,United Kingdom,41.0,,42357.13,Employed full-time,Married,lwright1999@gmail.com,,
U47624,Theo,Price,Theo Price,Huddersfield,Yorkshire and the Humber,,49.0,,12521.15,Employed part-time,Married,theo.price@gmail.com,07111570109,Organic Search
U18443,William,Lewis,William Lewis,,East of England,United Kingdom,34.0,,37918.08,Self-employed,,wlewis1971@hotmail.com,07982266168,Affiliate / Comparison Site
U60411,Mason,Walker,Mason Walker,Reading,,,59.0,Male,34462.24,Employed full-time,Married,mason.walker@live.co.uk,+44 7616 464095,
U47704,Susan,Bell,Susan Bell,Edinburgh,Scotland,United Kingdom,,Female,44722.45,Employed full-time,Divorced,susanb86@gmail.com,(07851) 661153,Paid Search
U84395,Nadia,Clark,Nadia Clark,,East of England,United Kingdom,,Female,45589.81,Employed full-time,,turbo45@outlook.com,07848177084,Paid Search
U84123,Leo,Rahman,Leo Rahman,Bath,South West,United Kingdom,40.0,Male,36337.46,Self-employed,Married,,07269 794008,Paid Search
U51716,Molly,Thompson,Molly Thompson,Reading,South East,United Kingdom,57.0,Female,,Employed full-time,Divorced,molly.thompson@icloud.com,+44 7447 766946,
U39494,Barbara,Johnson,Barbara Johnson,Westminster,Greater London,UK,41.0,Female,46359.21,Employed full-time,Single,barbaraj49@icloud.com,07223 456 451,
U41486,Simon,Shaw,Simon Shaw,Glasgow,Scotland,United Kingdom,53.0,Male,18186.66,Employed part-time,Divorced,sshaw2002@yahoo.co.uk,07269 633968,Social Media Ads
U13333,Layla,Ward,Layla Ward,Dundee,Scotland,United Kingdom,34.0,,37055.65,Employed full-time,Single,layla.ward@gmail.com,(07283) 335447,Paid Search
U54524,Amina,Lee,Amina Lee,ROTHERHAM,Yorkshire and the Humber,UK,46.0,Female,38501.34,,,amina.lee@gmail.com,,Social Media Ads
U38573,Freddie,Davies,Freddie Davies,Birmingham,West Midlands,United Kingdom,64.0,Male,56786.74,Self-employed,Married,freddie.davies@hotmail.com,(07433) 178383,Social Media Ads
U91998,Finley,Shaw,Finley Shaw,Aberdeen,Scotland,U.K.,38.0,Male,32801.98,Self-employed,Married,fshaw1985@gmail.com,+44 7673 953115,Paid Search
U62053,Isabella,Hughes,Isabella Hughes,Basildon,East of England,UK,30.0,Female,42663.17,Self-employed,Married,isabella.hughes@gmail.com,,Organic Search
U58734,Oscar,Richardson,Oscar Richardson,dundee,Scotland,United Kingdom,29.0,Male,26560.78,Employed full-time,,orichardson2001@gmail.com,07823 489328,Affiliate / Comparison Site
U36261,Katie,Rahman,Katie Rahman,Wolverhampton,,United Kingdom,39.0,Female,55014.5,Self-employed,Single,katie.rahman@gmail.com,07576330008,Referral
U57764,Linda,Green,Linda Green,Ipswich,East of England,UK,27.0,,,Employed full-time,Married,lindag65@yahoo.co.uk,+44 7220 532357,Organic Search
